输出数据


通过最多 30 个跃点跟踪
到 www.bnu.edu.cn [60.247.18.7] 的路由:

  1    <1 毫秒    2 ms     *     192.168.1.1 [192.168.1.1] 
  2     3 ms     3 ms     3 ms  10.83.0.1 [10.83.0.1] 
  3     4 ms     *        *     211.140.72.181 
  4     *        *        *     请求超时。
  5     *        *        *     请求超时。
  6    40 ms     *       36 ms  221.183.37.161 
  7    32 ms     *       32 ms  221.183.94.22 
  8    43 ms     *        *     221.183.86.50 
  9     *        *        *     请求超时。
 10     *        *        *     请求超时。
 11     *       39 ms     *     219.141.140.73 
 12    36 ms    36 ms    36 ms  82.235.120.106.static.bjtelecom.net [106.120.235.82] 
 13    38 ms    39 ms    38 ms  98.16.142.219.broad.bj.bj.dynamic.163data.com.cn [219.142.16.98] 
 14     *        *        *     请求超时。
 15     *        *        *     请求超时。
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。


缓冲错误数据

