输出数据


通过最多 30 个跃点跟踪
到 www.cau.edu.cn [202.205.80.179] 的路由:

  1    12 ms     *        1 ms  192.168.1.1 [192.168.1.1] 
  2     4 ms     3 ms     3 ms  10.83.0.1 [10.83.0.1] 
  3     *        *        3 ms  211.140.72.177 
  4    10 ms     9 ms     *     211.138.119.237 
  5     *        *        *     请求超时。
  6    51 ms    33 ms    36 ms  221.183.37.161 
  7     *        *        *     请求超时。
  8    44 ms    43 ms    43 ms  211.136.0.74 
  9    41 ms    41 ms    41 ms  101.4.116.65 
 10    41 ms    41 ms    41 ms  101.4.113.201 
 11     *        *       44 ms  202.112.5.122 
 12    42 ms    45 ms    42 ms  202.112.160.241 
 13     *        *        *     请求超时。
 14     *        *        *     请求超时。
 15     *        *        *     请求超时。
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。


缓冲错误数据

