输出数据


通过最多 30 个跃点跟踪
到 www.lb.pku.edu.cn [162.105.131.160] 的路由:

  1     *       <1 毫秒    *     192.168.1.1 [192.168.1.1] 
  2     5 ms     3 ms     3 ms  10.83.0.1 [10.83.0.1] 
  3     *        *        *     请求超时。
  4    10 ms     *        *     117.148.181.37 
  5     *        *        *     请求超时。
  6    33 ms     *       33 ms  221.183.37.161 
  7     *        *       32 ms  221.183.94.22 
  8    45 ms    43 ms    43 ms  211.136.0.74 
  9    41 ms    41 ms    41 ms  101.4.116.65 
 10    74 ms    52 ms    42 ms  101.4.117.134 
 11    42 ms    42 ms    42 ms  202.112.41.181 
 12    42 ms    41 ms    42 ms  202.112.41.2 
 13    44 ms    44 ms    43 ms  162.105.252.234 
 14    42 ms    42 ms    42 ms  162.105.253.58 
 15     *        *        *     请求超时。
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。


缓冲错误数据

